athlete_id,weeks_with_readings,weeks_between_first_and_last_readings,percentage_weeks_with_readings
95c29407-3898-46d9-9399-53ca391d26a5,19,19,100.0
4a07f9c7-58d7-413d-8e7b-ca3c5f379c57,1,1,100.0
01843f3a-8883-4a76-a60f-223c92ff7ef1,2,2,100.0
d222716f-5ed8-46f9-a35c-ec6b3d9bae67,56,56,100.0
dd2eee24-b271-4cbd-be01-66b804838e5f,71,71,100.0
3a74749c-d364-465a-8b26-47a6a58ddc55,30,31,96.7741935483871
acd66fb1-e8e9-4a83-8269-939b54852397,18,19,94.73684210526315
3cda1bd7-56c5-428e-98c7-fe13f7e1cbae,34,36,94.44444444444444
42c28be1-0f23-4e72-99be-adce9a593411,157,168,93.45238095238095
3c61dc3b-68c0-4a2d-8724-6a744abe6d19,13,14,92.85714285714286
97debc77-9d4c-4ac4-944c-26d890d57387,36,39,92.3076923076923
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,98,109,89.90825688073394
6d808c81-5988-44cb-8a65-12723ac05506,25,28,89.28571428571429
4d7eb099-5b50-45a1-9a69-e9898c77fe85,59,68,86.76470588235294
5d832f19-7169-409f-b1d3-6947b72e423b,19,22,86.36363636363636
d5b08556-ac8c-43b7-bd28-b37152623424,35,41,85.36585365853658
5ae846a2-fb61-4553-a41f-99db55bcebbd,52,63,82.53968253968253
1030713a-29cd-4bc2-acbd-bf7c4855ffab,155,189,82.01058201058201
df6f2e29-5e82-431d-8549-27ca0f2fccff,73,91,80.21978021978022
e58c276d-9e21-4dcf-8121-703ee2c6f729,179,227,78.8546255506608
e7a3ed8a-cca4-4ba9-b244-328dacb435cd,55,70,78.57142857142857
091ff782-d063-4411-9f40-9b679eaf44da,12,16,75.0
7780d1e6-26b2-411e-971f-8d35c56e65d8,42,56,75.0
a0eba165-f6fe-4a21-928a-f667bf9bbfc6,23,32,71.875
433abcb7-e4db-4002-892b-f033db0a4700,55,78,70.51282051282051
366f2948-6a84-46ec-9306-94784457a294,67,97,69.0721649484536
bce0f962-41e6-4d36-a5f0-e12f6474ea71,85,125,68.0
75119381-8969-4cfe-8c31-f21ce0f7ae3a,25,38,65.78947368421053
445c698a-ee2f-483b-b9d9-c4562bdafb88,37,58,63.793103448275865
ed8a4e8f-328f-40a6-9886-5120123826eb,35,57,61.40350877192983
f3771ea1-af65-4b36-90ad-6ffb5ac1f309,113,186,60.752688172043015
da6ab7ad-655c-4e4b-ac95-7af4cdc4b8f8,61,102,59.80392156862745
88f6e5bd-24b5-4188-926e-d08faae36e72,36,64,56.25
f505b200-6daf-46ad-b49e-14ff8edd72d6,32,58,55.172413793103445
afaf9967-adcd-4e9b-b117-55ca7057c0df,7,13,53.84615384615385
fe4bcccf-399f-4cd4-b385-e3b053e41c30,36,67,53.73134328358209
06f81197-504a-478b-a347-052d4df03044,112,362,30.939226519337016
1214b775-d2df-4365-818e-fd07c6c1605a,17,61,27.86885245901639
80d5c25b-d29c-4725-8fd2-a973b770f847,4,42,9.523809523809524
