id,gender,yob,numberOfRides,duration,rideFrequency
000c6417-e1e4-497e-89e6-bb21e17ec355,M,1998,394,649,0.6070878274268104
000db8a2-a1f6-42bd-8228-fdfae659f476,M,1969,26,50,0.52
000e7bee-e589-4d36-962c-cca96323f5d5,M,2064,2,72,0.027777777777777776
0027fd73-2e77-48c8-8a95-7f82d24f5bdb,M,1970,0,0,0.0
0030231e-2aac-4d34-bee0-98dd429d9a9d,M,1989,305,839,0.3635280095351609
0031326c-e796-4f35-8f25-d3937edca90f,M,2062,670,642,1.043613707165109
00395b55-7eee-4a64-8c4c-73d40997728f,M,2001,4,25,0.16
004008a3-6b25-496e-b8f9-c6c9c877bb46,M,1977,38,98,0.3877551020408163
004d4e6e-2a19-4876-975e-9f23e9e907fc,M,2071,1265,1641,0.7708714198659354
004f16c9-6ec5-40ae-9ee0-d3b066e8a33b,M,1975,89,1463,0.060833902939166094
00547432-c2e3-4831-8830-d2cc12f59f3e,M,1975,83,193,0.43005181347150256
0066cbd9-2072-472f-8018-2e320f0b2e99,M,1964,1054,2279,0.46248354541465553
006a0733-a7b2-4005-8d3d-d4cbfbd83882,M,1971,62,80,0.775
0074279b-1e6c-4ae5-8020-d8cbb92001ee,M,1993,234,661,0.3540090771558245
00757761-7ef4-4edf-912a-5f6f6ae2b3a9,M,1992,10,12,0.8333333333333334
008bc3f8-9a19-455d-8193-a5cb87d19b58,M,2082,23,682,0.03372434017595308
00908366-fff8-4d9c-84ad-34da165015a4,M,1981,406,1146,0.3542757417102967
009d7d63-35df-4924-8b40-4244832a50e1,M,1982,1483,2230,0.6650224215246637
009daa84-3253-4967-93fe-ebdb0fa93339,M,1972,221,869,0.25431530494821636
00b08a80-d090-4b05-9d7b-3d8f95c7159b,M,1978,741,2001,0.37031484257871067
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,M,2019,1182,38178,0.03096023888103096
00c3c69c-7ab1-4c1a-b019-99510ddabb70,M,1968,0,0,0.0
00cab3f8-83c3-4bb8-8c17-aff839b4bed9,M,2077,89,925,0.09621621621621622
00de8f27-b6de-4db6-a2e3-86ac2cf0918c,M,1992,117,545,0.21467889908256882
00e5b674-79ae-486f-ad31-23eaf55bb820,M,1985,663,2087,0.317680881648299
00ebaa97-f451-4fd6-bb05-f615021b0c89,M,1976,0,0,0.0
00ed6429-8e65-4be3-bd4c-8838cebada23,M,1968,258,51,5.0588235294117645
0109b2b3-1b3b-440c-8b44-337aa29f028d,M,1981,145,1154,0.12564991334488734
01370bf7-49ba-4321-be5b-c4140ae7fe5c,M,2078,36,799,0.04505632040050062
0138f4fb-d24d-4d61-a605-4b227eaa1202,M,1964,5,8,0.625
0144ab2a-934d-4be1-9f36-de61aef62a63,M,1969,1161,3435,0.33799126637554583
0147e40d-85b6-4816-9048-86f03c3d6388,M,2070,738,1601,0.46096189881324173
015a468e-913e-406c-bf75-801a8258d3c6,M,1988,222,491,0.45213849287169044
01612222-a05a-4f09-8eb0-0b019845bfea,M,1981,70,479,0.14613778705636743
01827dcf-3c84-455a-8be8-b1b3fcecb1e4,M,1977,65,208,0.3125
01843f3a-8883-4a76-a60f-223c92ff7ef1,F,1982,167,329,0.5075987841945289
0187e0b3-c2e7-40f6-9625-18e9a599b080,M,1977,204,727,0.28060522696011003
019594ed-f9cd-4199-9e32-365002836548,M,1979,20,46,0.43478260869565216
019fc6ab-e910-487b-90dd-042c6daebf7d,M,1979,1,0,0.0
01a599a0-f22d-4726-b81b-f2d7f3d9b559,M,1972,153,830,0.18433734939759036
01ab1155-2f8d-4731-bef1-1b028303e91b,M,1984,96,120,0.8
01bbafbf-ae5e-475b-bebb-0423d8f2f2a0,M,1963,194,320,0.60625
01c4667a-3bae-41d0-98bf-a4d7d45fdef3,M,1988,11,15,0.7333333333333333
01c510a5-0b25-4856-ace8-352a6f2e9db6,M,2073,0,0,0.0
01ca22ac-f46e-46f5-8aa2-a8d20b9a950f,M,1978,247,524,0.4713740458015267
01d9343b-50bf-480b-b06c-dfba4bdb1ca8,M,1980,0,0,0.0
01d9a299-2804-4555-8b99-f50345544117,M,1975,29,155,0.1870967741935484
01dae7aa-4b69-4541-97a9-12e1922b27b5,M,1980,91,221,0.4117647058823529
01fc0ebd-22e4-4a11-8939-506cb3e4eedd,M,1981,0,0,0.0
02070d6c-9854-43ce-93e9-720462199746,M,1995,116,62,1.8709677419354838
0214896f-3d30-42a9-9ea0-24c2364867cd,M,1970,15,25,0.6
021b99e9-fc00-49a4-b431-3f67213ca6a1,M,1984,96,209,0.45933014354066987
022dd584-7860-4a35-80ea-bcecc2902be5,M,1991,225,464,0.4849137931034483
02313e1c-050d-4ee5-af63-2e84577cd706,M,1975,573,1850,0.30972972972972973
0238135a-ddb8-4a8b-80d2-6d733c308313,M,1973,121,266,0.4548872180451128
024e8e18-8c4d-44d5-9aa5-e1ba34d34121,M,1975,142,485,0.2927835051546392
02533c05-2edd-42f8-bb1d-20984d1434e6,M,2000,74,112,0.6607142857142857
025b8742-5675-4159-8c54-a2dd7bf18487,M,1971,28,52,0.5384615384615384
025bad5c-1cfc-4c22-a2e3-2be1ccb70008,M,1976,1083,1989,0.5444947209653092
025e1202-2bcd-4f0b-bd62-606b7a9fa882,M,1993,145,275,0.5272727272727272
0262f4e4-b105-435d-b76c-42375f78bb0e,M,1988,21,192,0.109375
026bed6b-61c2-46ae-a990-3a96c53fe6b4,M,1978,298,1123,0.2653606411398041
02738136-8d22-4949-bf85-59d8900f7611,M,1983,130,378,0.3439153439153439
0291283c-c8f2-4c81-b9b1-294bf19378db,M,2014,1143,1827,0.625615763546798
029313fd-47e7-4268-9cf3-acb6b2bf7ab5,M,1970,108,280,0.38571428571428573
029a1b65-18ea-41d0-aa2d-e2fd5f2e35c8,M,2076,0,0,0.0
029abbce-69c2-42fc-ad44-a85541cd98b4,M,1967,5156,2054,2.510223953261928
029eeaf0-c194-43ca-aed2-b46484e62bfe,F,1976,25,39,0.6410256410256411
02a0c9dc-6687-47a7-96f4-140d88dc3c35,M,1977,277,1080,0.2564814814814815
02a20442-5e89-476c-b863-1fb89f7b13e9,M,1970,129,268,0.48134328358208955
02a72bf5-d3cf-4502-ac7f-1828abb367ae,M,1968,1977,1287,1.5361305361305362
02af847b-187a-460e-80ca-755eda90080d,M,1999,21,32,0.65625
02b32b14-ecea-4522-b1c7-193b23b6cb12,M,1989,23,87,0.26436781609195403
02b556f1-3579-45f0-9a4e-c3d32948344d,M,1980,468,1078,0.43413729128014844
02c5fc8d-52b6-4450-a777-b4dc0e7c56b8,M,1980,177,117,1.5128205128205128
02c66be1-d810-4dca-9e6a-001bfa0d7dae,M,1970,576,5071,0.11358706369552357
02cc8feb-3d51-458c-b7a4-c4290c2116ed,M,2068,277,454,0.6101321585903083
02dd2e4d-70dd-469c-b33f-58824fc1c754,M,2095,198,256,0.7734375
02de475c-f1fb-4210-afd7-5c616b6ace33,M,1973,396,567,0.6984126984126984
02e2c899-b625-44ff-b3c0-3795dbbd54fa,M,1990,151,355,0.4253521126760563
02fe4b03-0f97-4076-b9d0-9a8229921b78,M,1969,2,3,0.6666666666666666
0304a571-5f2e-4563-b7bc-9c5525ced673,M,1988,445,517,0.8607350096711799
030ac0ae-b563-4f49-8813-defeef5e22bf,M,2095,853,1433,0.5952547103977669
031046ff-34df-453a-9e98-02c49a869d05,M,2000,7,105,0.06666666666666667
0318cb82-9dde-4952-bfcc-32ad9e5b4ace,M,1987,504,753,0.6693227091633466
031a697d-cc40-4d77-87ff-b9a84308c5ae,M,1967,1065,3220,0.3307453416149068
031c70de-6ccd-48f8-ac62-d50eb3d75387,M,1990,1936,3334,0.5806838632273545
031cf14a-2d95-448b-85a9-3734585a6cae,M,1956,10,13,0.7692307692307693
031eacac-4a01-4d1b-a5b4-c43c168c3c13,M,1950,640,1326,0.48265460030165913
03239396-35ee-484d-b5fb-323cceabdcdc,M,2000,0,0,0.0
032e76d1-1992-4f26-b194-957d25badde5,M,1985,4,35,0.11428571428571428
03370f5b-71bb-4a68-a00e-2e169cdd87b0,M,1976,29,44,0.6590909090909091
033874ce-e20d-44ba-9cc9-125030b6662f,M,1967,592,4406,0.13436223331820246
