id,gender,yob,numberOfRides,duration,rideFrequency
000c6417-e1e4-497e-89e6-bb21e17ec355,M,1998,394,649,0.6070878274268104
0031326c-e796-4f35-8f25-d3937edca90f,M,2062,670,642,1.043613707165109
004d4e6e-2a19-4876-975e-9f23e9e907fc,M,2071,1265,1641,0.7708714198659354
009d7d63-35df-4924-8b40-4244832a50e1,M,1982,1483,2230,0.6650224215246637
01843f3a-8883-4a76-a60f-223c92ff7ef1,F,1982,167,329,0.5075987841945289
01bbafbf-ae5e-475b-bebb-0423d8f2f2a0,M,1963,194,320,0.60625
025bad5c-1cfc-4c22-a2e3-2be1ccb70008,M,1976,1083,1989,0.5444947209653092
025e1202-2bcd-4f0b-bd62-606b7a9fa882,M,1993,145,275,0.5272727272727272
0291283c-c8f2-4c81-b9b1-294bf19378db,M,2014,1143,1827,0.625615763546798
02cc8feb-3d51-458c-b7a4-c4290c2116ed,M,2068,277,454,0.6101321585903083
02dd2e4d-70dd-469c-b33f-58824fc1c754,M,2095,198,256,0.7734375
02de475c-f1fb-4210-afd7-5c616b6ace33,M,1973,396,567,0.6984126984126984
0304a571-5f2e-4563-b7bc-9c5525ced673,M,1988,445,517,0.8607350096711799
030ac0ae-b563-4f49-8813-defeef5e22bf,M,2095,853,1433,0.5952547103977669
0318cb82-9dde-4952-bfcc-32ad9e5b4ace,M,1987,504,753,0.6693227091633466
031c70de-6ccd-48f8-ac62-d50eb3d75387,M,1990,1936,3334,0.5806838632273545
038bec9a-1e67-428e-807d-cf1a1e0914fc,M,1991,235,453,0.5187637969094923
03a6bb49-6d13-4055-b462-9770cd76c80b,M,1996,305,420,0.7261904761904762
03d3bcef-59a3-4704-8c89-03c0ede4b424,M,1972,824,1520,0.5421052631578948
03e0128d-44b3-4a36-a0fe-da54c80c1ef9,M,1978,369,571,0.6462346760070052
03ef7e45-be79-4436-9d4e-8753e4aaab84,M,1982,820,1567,0.5232929164007658
0404d38a-812b-4599-a552-1ec637b96282,M,1985,414,550,0.7527272727272727
04095503-b841-40e0-a6e4-bd5e0a879788,M,1999,521,648,0.8040123456790124
0413085f-3615-4943-a414-0eaa723424c3,M,1985,336,480,0.7
041bc51a-ded5-4548-be69-73e36b0d299b,M,1971,147,239,0.6150627615062761
0477ed5c-9cd8-4610-9036-763ce8d6c19a,M,1986,447,816,0.5477941176470589
0495cd0e-508d-40a1-867a-a071538fa221,M,1993,1476,2658,0.5553047404063205
049f3e1d-963d-4cc8-ad2d-e0149b516a01,M,1993,221,404,0.5470297029702971
04a18a1d-0264-4fe5-a1c9-2c5c0853530a,M,1956,161,199,0.8090452261306532
04aba234-b8dd-4839-9d01-13b4fdca8d69,M,1982,1495,1746,0.8562428407789232
04d8cb71-c39f-4ccc-a2fe-01eb0850bfd7,M,1986,149,194,0.7680412371134021
05615b81-44a5-4252-9740-5b86419a0e29,M,1984,527,757,0.6961690885072656
060eb403-bcff-487b-843d-278cc43e635b,M,1972,761,1077,0.7065923862581244
0653c016-326b-495d-8658-80e27a4a6d9b,M,1974,570,1030,0.5533980582524272
06f81197-504a-478b-a347-052d4df03044,F,1971,2013,2639,0.7627889352027283
0740e35a-7cec-47ef-9fae-a74adc7c9d2c,M,1989,148,272,0.5441176470588235
07476629-ae8d-478f-967b-67bff9d8f4fe,M,2000,419,620,0.6758064516129032
074f8205-ba78-4202-9cf7-25ac3b5d28b7,M,1976,339,659,0.5144157814871017
07bed04a-2dc3-40ff-8ad5-ab8899941d49,M,1992,247,416,0.59375
07f9a831-c338-4a0a-ac2c-d4b02c86c587,M,1978,890,1654,0.5380894800483675
0845e82d-fa5f-487f-83f5-2fb00c6c0cc9,M,1980,338,559,0.6046511627906976
08706f69-50cd-4692-8417-07f550e3af5a,M,1966,243,386,0.6295336787564767
08c88043-66ca-4108-92d7-a66c0bea023a,M,1957,916,1362,0.6725403817914831
08e0df73-4bb4-41fa-a3b3-56374c9bc0ad,M,1974,228,335,0.6805970149253732
091e1868-d0e8-461b-b869-7ed8201a78e7,M,1953,566,978,0.5787321063394683
091ff782-d063-4411-9f40-9b679eaf44da,M,1988,132,246,0.5365853658536586
092a2a7c-bb77-48dc-a5f9-bd408e3f2b80,M,2002,742,840,0.8833333333333333
092dd530-b6c7-4f3c-885f-f6af1d331cfa,M,1985,627,1021,0.614103819784525
09407f03-8a99-499c-9830-5c657b2dd383,F,1995,121,240,0.5041666666666667
095b8287-9c56-49a2-96ee-275982048c65,M,2074,835,1399,0.5968548963545389
099c2300-5d3f-4841-b843-977c94ac91ab,M,1973,415,712,0.5828651685393258
09d9fc91-5a24-409d-ba41-5ecb809ad65f,M,1980,1440,2094,0.6876790830945558
09e174f5-f4a8-4694-b8f4-c2ccf5d47094,M,1998,160,196,0.8163265306122449
09e43621-f260-4f60-8662-d08ead7f225a,M,1978,229,286,0.8006993006993007
09e77b91-b1a4-43a3-b533-70bac6e42535,M,1983,596,731,0.8153214774281806
0a038767-1c42-40f3-808c-23f48ca293b2,M,1968,1305,2142,0.6092436974789915
0a1078fe-970a-4350-9b94-b3ce1f5a0a40,M,2000,559,668,0.8368263473053892
0a4fccb3-0f28-4788-975d-0ec88f25eabc,M,1989,2498,4765,0.5242392444910808
0a69bdba-cf10-4284-a273-5a3580efc001,M,1974,859,1582,0.5429835651074589
0aa1e908-524b-4504-841e-0289a11709d3,M,2085,548,859,0.6379511059371362
0bb2a751-f999-4d11-83c2-3b8c7120c545,M,1974,156,278,0.5611510791366906
0bbd1f9b-27c0-4c86-bf8c-67d11120d5e1,M,1971,1095,2137,0.5124005615348619
0c4a2d1c-a754-4c8d-bfdb-d80146ae98f8,M,1988,838,938,0.8933901918976546
0c8ebdd0-f4e9-450a-bb94-c9c9422f6749,M,1975,1116,2135,0.5227166276346604
0cb320ca-22bc-4ab6-92a6-91f07e9220cc,M,2000,347,503,0.6898608349900597
0ce2c553-986f-4928-8d8b-3b0b8019ec16,M,2000,342,438,0.7808219178082192
0d0a1ea0-9bad-434b-961d-957e7945a430,M,1991,584,638,0.915360501567398
0d14367d-b91a-4a37-9731-5e0cd6d268d0,M,1957,859,1235,0.6955465587044535
0d442498-92f4-426a-a7e6-f0ff86d4d5c2,M,2000,137,216,0.6342592592592593
0d4d6080-5083-49cf-a321-fc2b934b41f6,M,1969,617,622,0.9919614147909968
0db2c422-b2bb-4497-8023-f323a784a1db,M,1976,178,227,0.7841409691629956
0dba933f-31ce-493a-b0ed-4aa6768d0623,M,1967,191,290,0.6586206896551724
0e1f7fe9-b00d-4308-bf73-6ebb5ed81854,M,1989,193,277,0.6967509025270758
0e78d9ff-8ee1-4f88-91ea-f37a3d566501,M,1979,223,404,0.551980198019802
0ee70f9a-9c1c-4138-9bcb-c1c8f3b1da0e,M,1971,314,524,0.5992366412213741
0f1b246c-2781-40c3-9dd1-a14c687536f0,M,1983,202,277,0.7292418772563177
0f62470a-db76-416b-952f-9b9efd12a2d6,F,1993,296,407,0.7272727272727273
0f706bec-3656-4d47-a932-c125619c04e0,M,2000,275,470,0.5851063829787234
0fedefa4-a443-4dc8-9c74-63e6ddc44fc2,M,1978,298,540,0.5518518518518518
100c891e-31d9-412f-90c0-35dca43959ca,M,1991,200,377,0.5305039787798409
1030713a-29cd-4bc2-acbd-bf7c4855ffab,M,1995,1358,1425,0.9529824561403508
10a84105-6024-4016-8942-5c920e53e9ef,M,1991,425,840,0.5059523809523809
10f33d1c-d7a1-4428-a750-d867e9bd39ac,M,1963,678,918,0.738562091503268
1109b6f4-2348-4afa-b65b-75a677db7e7b,M,1979,1114,1326,0.8401206636500754
11265c66-5dd1-45d7-bf49-91c38be5c82d,M,1971,423,467,0.9057815845824412
1189f895-fe17-4d9a-b298-4dc2add78d3f,M,1974,1767,2089,0.84585926280517
119f9925-d1be-4f35-87f6-5b5ffcad027a,M,1959,356,425,0.8376470588235294
11a9a286-71ac-4e58-a3c6-34149313a99b,M,1979,258,396,0.6515151515151515
11b865c4-e63b-46b4-806b-ef0a61678be6,M,2005,369,711,0.5189873417721519
12142f2a-7970-4a96-8ab8-866977b60763,M,2003,123,194,0.634020618556701
1214b775-d2df-4365-818e-fd07c6c1605a,F,1996,304,522,0.5823754789272031
1283f2de-78ee-464e-8f18-4a60e2009c79,M,1990,1453,1668,0.8711031175059952
129d5aaa-d915-4909-bb11-028c3ab8b720,M,1980,125,248,0.5040322580645161
12a9a5f7-9f71-4ffd-ba92-c9455e8d0b42,M,2068,867,1184,0.7322635135135135
1308574d-87e6-4fa3-b1f6-f68808dff38a,M,1988,481,780,0.6166666666666667
132236f6-2b8b-40d5-87dc-d00e0054ef24,M,2064,198,343,0.577259475218659
137f4f91-25ef-4fcf-b78d-b0c43de96401,M,1968,639,782,0.8171355498721228
13b59cf1-9e6a-40d2-89fc-395dfd5fe6de,M,1989,2883,3401,0.8476918553366657
13f64d1c-6c50-46fb-995e-f13bfaacb9b6,M,1993,611,1205,0.5070539419087137
143ad786-a1c3-4a1d-986e-50986173df06,M,2073,1060,1086,0.9760589318600368
14af4992-a4f3-45f7-9e24-de753af98c72,M,1969,2287,3058,0.7478744277305428
14cba0c9-0c3b-4d20-8db8-5bb19c25011e,M,1975,138,253,0.5454545454545454
14f2e5c1-3db4-4393-baf5-72fbb5761df5,M,1985,158,250,0.632
15383ac7-1329-4f55-bd1a-939c95a22802,M,1990,217,417,0.5203836930455635
15399272-7553-4922-b8fa-f22218276b8f,M,2000,248,319,0.7774294670846394
157f37ba-a126-49e8-a98f-84d710bca98f,M,1979,212,276,0.7681159420289855
15e79d3f-6588-42d6-9f0a-6c413c09913d,M,1975,216,379,0.5699208443271768
1619cb9c-c199-45d6-88da-12332af8ef13,M,1978,438,542,0.8081180811808119
162de289-037a-41f9-9ad0-8554e32fc615,M,1984,427,590,0.7237288135593221
1746288d-df53-4c13-a06a-978c7ae69318,M,1974,1785,3071,0.5812438944969065
17905333-980d-491a-8605-165086df72eb,M,2000,1654,2463,0.6715387738530247
17b3e1e3-42c1-414b-83e2-9fd34fdfeee5,M,2085,1249,1624,0.7690886699507389
17c30fad-f9f1-452f-afea-16c8116f85e9,M,1997,342,539,0.634508348794063
17f5386b-e85e-4299-a3f2-a54558aa4665,M,2082,1174,1978,0.5935288169868554
17fcb21c-6913-426f-bc1b-ae546be74d5a,M,1977,828,1593,0.519774011299435
182c421c-b8b6-4d06-a2d4-b46befb140aa,M,2019,939,1007,0.9324726911618668
1859eedb-4618-4579-bfb1-826a278ed952,M,1977,155,231,0.670995670995671
18723549-4c97-4fee-8f56-a37a863b985c,M,1990,207,205,1.0097560975609756
18dbdca0-34f6-4ec8-bcf2-53eb081fee1a,M,1983,604,648,0.9320987654320988
1909f149-25ff-490d-a7cc-dc5a3b3f95ff,M,1993,327,635,0.5149606299212598
192068ee-8198-4d31-a66b-b0c402a30153,M,2062,1198,1357,0.8828297715549005
1985b805-5941-4f8d-9bc1-cafb4aa1ab44,M,1970,2088,3286,0.63542300669507
19f9764f-05f4-4d88-b06e-099760186184,M,2081,297,488,0.6086065573770492
19fb83b2-9ea3-4b34-a2be-dafa74a52af7,M,1972,92,184,0.5
1ac617bd-551b-43b5-abab-44ea0bd2cc86,M,1987,293,311,0.9421221864951768
1ac67ad3-d79c-4513-900f-bb2a6321551a,M,1973,2496,4477,0.5575161938798302
1aea3463-275a-405a-8032-f312b737fc24,M,1980,1533,2469,0.6208991494532199
1b05c7a7-807a-44f4-86f8-3cf87077adce,M,1956,391,594,0.6582491582491582
1b1c3250-2121-4e86-9a4a-33cd9231e3f6,M,1976,1262,2239,0.5636444841447075
1b6876ee-a364-4047-a573-46f980d84160,M,2000,302,407,0.742014742014742
1bb9a1bc-18e3-447b-886c-1972d50a037c,M,1988,520,857,0.6067677946324388
1bed46fe-6218-46c4-8482-1eb6fce8ff8f,M,1985,1622,1870,0.8673796791443851
1c11466e-fb84-4008-8c14-3b23ad95f5da,M,1991,273,422,0.6469194312796208
1c31010e-36ef-48da-854b-ff2e026c7e79,M,2000,228,370,0.6162162162162163
1c776fe1-d02e-4c49-bc2a-8ad856615852,M,1968,967,1302,0.7427035330261137
1d09861c-3c89-4fc8-9ea7-ff8c2596f6ba,M,1972,640,598,1.0702341137123743
1d3ed7ad-06d3-4c1f-b73f-2c62e51867eb,M,1986,624,1008,0.6190476190476191
1d809505-3a2d-4f43-9e19-e2d3e33cd2c0,M,1969,1095,1579,0.6934768841038632
1da45cc6-0cdc-4ead-93c3-2a242715451e,M,1997,232,342,0.6783625730994152
1dbba82e-8924-4b10-b1da-151e8062680a,M,2084,2268,3229,0.7023846392071849
1e0a8db8-ed03-4bef-acbc-2c68944a3671,M,1975,871,1291,0.6746707978311387
1e4ae51d-65de-4e20-9b96-9a3df181e3bf,M,1975,778,1054,0.7381404174573055
1eccbec2-6df6-4b19-9eea-2caaecdef433,M,1984,220,408,0.5392156862745098
1ecf3044-dab1-49a8-9157-7f86a1d9c498,M,1976,901,1265,0.7122529644268775
1effa9aa-10c3-4ecc-9ab7-55542cb3ee8c,M,1980,423,693,0.6103896103896104
1f158766-0dde-4dd2-8e03-f8bc2313106b,M,1969,169,206,0.8203883495145631
1f3b7c35-940c-403c-af03-7fae965ccaee,M,1970,1273,1872,0.6800213675213675
1f3f4f79-ca37-42a7-ba99-83dbb20fcb7a,F,1970,1059,1179,0.8982188295165394
1f9cdc9f-3060-4b4a-97a8-bd29cb231a28,M,1956,443,728,0.6085164835164835
200eed96-774c-4742-94aa-0b5bc9bab1e2,M,1974,180,302,0.5960264900662252
201f345f-ef78-40a0-a4cb-4852c12ceb3a,M,2000,156,288,0.5416666666666666
2035bf47-0ebd-4962-8b9b-f6ec976c8185,M,1969,178,353,0.5042492917847026
20543d1c-47fd-43e9-8bea-fdf25b46366a,M,1995,246,393,0.6259541984732825
20b431ec-c039-4416-baf4-b7ca7a0a4a6a,M,1971,629,1251,0.5027977617905676
2126f9b6-67ca-4e98-9cea-0c9bfc877a5c,M,1978,313,486,0.6440329218106996
213c7d18-8c37-4a2c-b07c-4d1369beca2b,M,2001,872,1541,0.5658663205710578
218a2df0-abe2-45f6-a8ce-04249ec0fc77,M,1988,2185,2450,0.8918367346938776
2194ce91-e56d-4ed8-aada-81265f553ccb,M,1981,178,308,0.577922077922078
21d98840-c4b1-41ec-afe4-c74c32e1be14,M,1980,674,1076,0.6263940520446096
2207e7bf-b505-47aa-8503-f23af5a2eba1,M,1978,394,499,0.7895791583166333
2215656b-79d8-4144-b70a-a27e056f0985,M,2000,191,283,0.6749116607773852
224a17d6-021d-495f-945b-6be7e4d44d7a,M,1988,228,303,0.7524752475247525
22ec4c44-bc9e-4b96-bb7a-830e024e36f2,M,1999,1052,1639,0.6418547895057962
23373458-ad1d-42d3-bbc3-ac15eddae462,M,1968,397,576,0.6892361111111112
233c7852-dd73-4d72-9d5c-324758654770,M,1987,333,317,1.0504731861198735
237a2549-915e-48ba-857c-ff943982004e,M,1979,331,411,0.805352798053528
238207f4-be5d-4dad-af9d-740cc76d1035,M,2000,757,869,0.8711162255466053
23ceab7c-ca08-4373-9e95-1445df5ee979,M,1974,1008,1140,0.8842105263157894
23e268da-f18e-4d3b-af1f-22c05be7e571,M,1976,194,298,0.6510067114093959
23f4e898-6b27-450d-ab01-8f61b72561f0,M,2083,1138,1954,0.5823950870010235
246a7126-b4de-466a-8a00-4072567bbc3d,M,1965,438,776,0.5644329896907216
2474b616-15ca-4325-9012-d068e11d8e31,M,1962,248,276,0.8985507246376812
24d265c2-e491-4412-9383-7058de4808a0,M,1992,158,220,0.7181818181818181
24d2885a-693f-43ac-ace1-3f3522156bf5,M,1980,318,365,0.8712328767123287
25156fbc-9b4f-4073-a87c-d651aa84f783,M,1976,194,329,0.5896656534954408
25294330-a5dc-4729-87f5-9c6f5666557a,M,1998,547,1059,0.5165250236071766
25b84440-5a3c-4069-a0c8-b25238789059,M,1972,534,822,0.6496350364963503
266bb0ef-3fa6-48ee-901c-f75b0d906fb1,M,1982,324,550,0.5890909090909091
273aa53f-1a39-4aa6-be26-1df7f1f59068,M,2094,500,965,0.5181347150259067
27824ea1-d1f1-4711-9313-04383b1127ca,M,1960,161,241,0.6680497925311203
2785bc82-a621-4403-8091-f513626b9449,M,1966,608,600,1.0133333333333334
279b0fb3-b0b2-494e-82c0-7ed003f05f3f,M,2096,848,789,1.0747782002534854
27c96790-7b0b-4a41-b1cf-d7155e308f09,M,1981,605,722,0.8379501385041551
27cf959f-e790-4144-88ad-5b2a04ab80f3,M,2086,590,705,0.8368794326241135
28370ae4-e020-4965-a12c-44c0bda6f353,M,1980,946,1492,0.6340482573726541
28c0ba07-1008-4d57-9b97-445ce68adac4,M,1980,315,360,0.875
28e602d4-e4d4-4b21-91b3-9d208fe7978d,M,1979,193,304,0.6348684210526315
28eb831c-6d65-4a43-9c9e-882a0dad9c23,M,1964,348,417,0.8345323741007195
29413f81-ec43-445b-b521-cad1a43a93c2,M,1946,539,870,0.6195402298850575
29481d8d-6b6e-460f-8964-8fa859ffe99d,M,2081,1011,1586,0.637452711223203
29638c81-44fc-4a8b-b4b6-1c91d3fd5d95,M,1980,138,238,0.5798319327731093
297e62e6-edd6-414e-8a8b-b1e27bf05ae6,M,1959,163,245,0.6653061224489796
2980ea82-a0e0-4d11-a6b4-326352f90841,M,2000,639,784,0.8150510204081632
29a268ce-6a3b-456a-923a-6bc0a77616a7,M,1959,891,1277,0.6977290524667189
29c238f0-50ec-497d-9503-2cd5d8bc828d,M,1970,638,1185,0.5383966244725739
29d9c083-59f5-4074-be68-a90ed17597cb,M,1974,816,770,1.0597402597402596
29fe0031-3013-4cf5-8a8f-42e549c50bb2,M,2093,193,364,0.5302197802197802
2a3cb84c-cd85-4596-b08f-8ea2d1f552a9,M,1975,687,1006,0.6829025844930418
2ab8d935-396d-4fe9-99e2-97b516d61825,M,2000,504,654,0.7706422018348624
2b855344-7594-4818-8583-e42c810ddaa5,M,1968,280,483,0.5797101449275363
2bb8e09c-e48f-4787-a1bd-4a6de860ad8e,M,1973,261,403,0.6476426799007444
2c91ad43-fde3-44ab-8fa2-ff5e45eff3ec,M,2001,219,414,0.5289855072463768
2d157782-061e-4948-8dc9-48015548a8b6,M,1980,297,541,0.5489833641404805
2d57e0e2-5120-4721-90e5-2e8a4e2af926,M,1976,635,861,0.7375145180023229
2d60a489-f475-469d-966b-211102ff0f37,M,1980,264,347,0.760806916426513
2d6239bd-c4a7-41b0-814f-aed6a89a89b0,M,1988,887,1583,0.560328490208465
2dbd52ea-c66d-457d-a734-5405b002f9cd,M,1972,139,247,0.562753036437247
2e2ba367-2b20-421d-8323-d46d5b749fd0,M,1983,119,216,0.5509259259259259
2e4f284e-6a49-404d-a8f3-0d1bcb1e2524,M,1960,339,614,0.5521172638436482
2e7ab97d-6350-47b1-a349-e7b210d37ab0,M,1978,257,320,0.803125
2e9ab674-1068-42df-83bb-89bb04e0e38b,M,1989,169,336,0.5029761904761905
2ea56bdf-2a8f-4b1c-8462-18af797186c4,M,1972,121,211,0.5734597156398105
2f00ccf5-ce6d-4058-92f6-32e66674146e,M,1980,1018,1538,0.6618985695708712
2f5bee2b-e2e3-4a71-ad8b-09cfb385a524,M,2084,401,453,0.8852097130242825
2f86f3ca-a8c6-458c-bea7-bcd985917988,M,1975,265,409,0.6479217603911981
2f8ac711-f6cb-4e85-b67b-ba47642be7e6,M,2068,393,594,0.6616161616161617
