id,gender,yob,numberOfRides,duration,rideFrequency,max_hr
01843f3a-8883-4a76-a60f-223c92ff7ef1,F,1982,167,329,0.5075987841945289,192.0
06f81197-504a-478b-a347-052d4df03044,F,1971,2013,2639,0.7627889352027283,193.0
09407f03-8a99-499c-9830-5c657b2dd383,F,1995,121,240,0.5041666666666667,172.0
0f62470a-db76-416b-952f-9b9efd12a2d6,F,1993,296,407,0.7272727272727273,249.0
1214b775-d2df-4365-818e-fd07c6c1605a,F,1996,304,522,0.5823754789272031,193.0
1f3f4f79-ca37-42a7-ba99-83dbb20fcb7a,F,1970,1059,1179,0.8982188295165394,223.0
366f2948-6a84-46ec-9306-94784457a294,F,2000,437,676,0.6464497041420119,210.0
3785483e-f809-45e7-8dcf-95cceb10742f,F,2002,638,1023,0.6236559139784946,230.0
3c61dc3b-68c0-4a2d-8724-6a744abe6d19,F,2000,116,216,0.5370370370370371,176.0
3cda1bd7-56c5-428e-98c7-fe13f7e1cbae,F,1982,171,259,0.6602316602316602,189.0
403f77a3-d594-4444-b1ee-54be7dfeedd3,F,1970,1160,1755,0.6609686609686609,215.0
433abcb7-e4db-4002-892b-f033db0a4700,F,2000,319,542,0.5885608856088561,210.0
525d1d99-83d4-48bd-8603-339c065a59c6,F,1997,907,1364,0.6649560117302052,
5d832f19-7169-409f-b1d3-6947b72e423b,F,2000,180,212,0.8490566037735849,185.0
5f2d15ca-0702-400c-b860-1a892e833dff,F,1969,398,373,1.0670241286863271,213.0
5f4779f2-4152-4827-85a2-2d9030a24d63,F,1991,1087,1118,0.9722719141323792,216.0
80f438f4-21ed-4b41-8b2a-0918b25f7842,F,1983,395,685,0.5766423357664233,254.0
88f6e5bd-24b5-4188-926e-d08faae36e72,F,2001,372,453,0.8211920529801324,207.0
8a4414da-95de-43fa-8f52-9258b62a304c,F,1999,170,331,0.513595166163142,211.0
a0631b3a-c8cb-4e7f-949e-d102c65c852f,F,1997,1562,2184,0.7152014652014652,251.0
afaf9967-adcd-4e9b-b117-55ca7057c0df,F,1995,846,1567,0.5398851308232291,198.0
caef900a-f5e4-420b-bb45-01bd310b4bd8,F,1987,594,803,0.7397260273972602,211.0
d0135273-6bad-4a89-8fd0-797e1e3c3c6e,F,1985,328,461,0.7114967462039046,201.0
d222716f-5ed8-46f9-a35c-ec6b3d9bae67,F,1988,344,387,0.8888888888888888,181.0
da47d937-51ae-4f8d-93a0-e8460d65f990,F,1989,460,812,0.5665024630541872,
da6ab7ad-655c-4e4b-ac95-7af4cdc4b8f8,F,1973,710,741,0.9581646423751689,189.0
dd2eee24-b271-4cbd-be01-66b804838e5f,F,1988,435,496,0.8770161290322581,184.0
df6f2e29-5e82-431d-8549-27ca0f2fccff,F,1983,364,632,0.5759493670886076,191.0
dfa3be5b-953e-42ea-82c0-3bc9a9e383b7,F,1994,530,710,0.7464788732394366,219.0
e58c276d-9e21-4dcf-8121-703ee2c6f729,F,1970,1162,1803,0.6444814198557959,190.0
e7a3ed8a-cca4-4ba9-b244-328dacb435cd,F,1987,349,487,0.7166324435318275,185.0
ed8a4e8f-328f-40a6-9886-5120123826eb,F,1987,288,544,0.5294117647058824,187.0
f3771ea1-af65-4b36-90ad-6ffb5ac1f309,F,2002,743,1298,0.5724191063174114,205.0
f4054da0-4cfa-4133-a40c-7189834e07e2,F,1981,190,294,0.6462585034013606,
f505b200-6daf-46ad-b49e-14ff8edd72d6,F,2066,281,431,0.6519721577726219,185.0
