id,gender,yob,numberOfRides,duration,rideFrequency,max_hr
75119381-8969-4cfe-8c31-f21ce0f7ae3a,M,1960,222,274,0.8102189781021898,193.0
3a74749c-d364-465a-8b26-47a6a58ddc55,M,1984,131,214,0.6121495327102804,197.0
091ff782-d063-4411-9f40-9b679eaf44da,M,1988,132,246,0.5365853658536586,186.0
d5b08556-ac8c-43b7-bd28-b37152623424,M,1969,233,285,0.8175438596491228,180.0
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,M,1971,637,763,0.8348623853211009,208.0
445c698a-ee2f-483b-b9d9-c4562bdafb88,M,1974,226,408,0.553921568627451,189.0
a1c8b721-1490-4b9f-8bae-65694e85a1ff,M,1965,921,1696,0.5430424528301887,254.0
671b2fb5-2b81-4fce-8982-cf691a1c0583,M,1978,1624,2258,0.7192205491585474,252.0
2f9d34ca-81a9-40be-babb-0ae4e28e27c2,M,2000,2128,2457,0.8660968660968661,254.0
224a17d6-021d-495f-945b-6be7e4d44d7a,M,1988,228,303,0.7524752475247525,225.0
e8ca97ee-e038-4b8e-a2fb-5731881ec8f5,M,1989,253,384,0.6588541666666666,
97debc77-9d4c-4ac4-944c-26d890d57387,M,1973,142,268,0.5298507462686567,193.0
5ae846a2-fb61-4553-a41f-99db55bcebbd,M,2000,461,448,1.0290178571428572,210.0
6d808c81-5988-44cb-8a65-12723ac05506,M,1989,128,194,0.6597938144329897,195.0
95c29407-3898-46d9-9399-53ca391d26a5,M,1976,198,261,0.7586206896551724,182.0
71a83aa9-6103-4a69-a2a0-c2be5bb1d8a8,M,2000,259,372,0.696236559139785,228.0
acd66fb1-e8e9-4a83-8269-939b54852397,M,1989,115,207,0.5555555555555556,194.0
7780d1e6-26b2-411e-971f-8d35c56e65d8,M,1977,366,399,0.9172932330827068,183.0
a0eba165-f6fe-4a21-928a-f667bf9bbfc6,M,1960,238,221,1.0769230769230769,182.0
5d922a71-c980-44bf-afe7-f87f7e431f1a,M,1979,1058,1832,0.5775109170305677,233.0
537ba4dd-6607-4932-8d11-bcedcfae6a7c,M,1974,423,690,0.6130434782608696,241.0
c99cb213-fa05-4bbd-8564-fac04e46cc5b,M,1961,1956,3258,0.6003683241252302,240.0
f302a094-a06f-4218-8735-5f1867fef0b3,M,1959,2088,2317,0.9011652999568408,245.0
4d7eb099-5b50-45a1-9a69-e9898c77fe85,M,1979,250,472,0.5296610169491526,186.0
42c28be1-0f23-4e72-99be-adce9a593411,M,1962,666,1196,0.5568561872909699,175.0
d9e4e8a4-2a85-474d-867d-4d5f2517a683,M,1979,1371,1815,0.7553719008264462,225.0
5d9be2e9-fe18-46b0-83d3-ff3c4ad5da60,M,1973,276,375,0.736,240.0
b51b7995-2e07-47ed-9fec-4dbf6ec37ac7,M,1995,168,193,0.8704663212435233,226.0
4a07f9c7-58d7-413d-8e7b-ca3c5f379c57,M,1980,174,327,0.5321100917431193,204.0
fe4bcccf-399f-4cd4-b385-e3b053e41c30,M,1960,257,483,0.5320910973084886,183.0
74114d44-6c7f-4b11-a9c5-ba33f2a643c3,M,1967,872,1732,0.5034642032332564,254.0
17c30fad-f9f1-452f-afea-16c8116f85e9,M,1997,342,539,0.634508348794063,
51bf566f-80ae-492f-b6a4-3a3caeb289ec,M,1987,922,1405,0.6562277580071174,
80d5c25b-d29c-4725-8fd2-a973b770f847,M,1963,711,1169,0.6082121471343028,214.0
bce0f962-41e6-4d36-a5f0-e12f6474ea71,M,1986,821,884,0.9287330316742082,202.0
10f33d1c-d7a1-4428-a750-d867e9bd39ac,M,1963,678,918,0.738562091503268,246.0
b4a595a3-1789-45a4-a049-5c3f26a1dff7,M,1975,629,655,0.9603053435114504,232.0
82ddd5e9-eda7-4d56-b892-037385df5054,M,1973,503,932,0.5396995708154506,243.0
1030713a-29cd-4bc2-acbd-bf7c4855ffab,M,1995,1358,1425,0.9529824561403508,206.0
a5ec7cd5-c4c7-47b1-a08a-141a25c9b8f4,M,1984,709,1127,0.6291038154392191,254.0
