id,gender,yob,numberOfRides,duration,rideFrequency,max_hr,min_hr
01843f3a-8883-4a76-a60f-223c92ff7ef1,F,1982,167,329,0.5075987841945289,184.35,78.65
06f81197-504a-478b-a347-052d4df03044,F,1971,2013,2639,0.7627889352027283,179.0,72.0
09407f03-8a99-499c-9830-5c657b2dd383,F,1995,121,240,0.5041666666666667,,
0f62470a-db76-416b-952f-9b9efd12a2d6,F,1993,296,407,0.7272727272727273,193.2,54.8
1214b775-d2df-4365-818e-fd07c6c1605a,F,1996,304,522,0.5823754789272031,189.05,40.793335
1f3f4f79-ca37-42a7-ba99-83dbb20fcb7a,F,1970,1059,1179,0.8982188295165394,179.0,54.0
366f2948-6a84-46ec-9306-94784457a294,F,2000,437,676,0.6464497041420119,183.0,42.74787
3785483e-f809-45e7-8dcf-95cceb10742f,F,2002,638,1023,0.6236559139784946,203.0,67.0
3c61dc3b-68c0-4a2d-8724-6a744abe6d19,F,2000,116,216,0.5370370370370371,173.0,53.15
3cda1bd7-56c5-428e-98c7-fe13f7e1cbae,F,1982,171,259,0.6602316602316602,180.0,65.0
403f77a3-d594-4444-b1ee-54be7dfeedd3,F,1970,1160,1755,0.6609686609686609,180.0,49.0
433abcb7-e4db-4002-892b-f033db0a4700,F,2000,319,542,0.5885608856088561,183.09999999999997,41.777139999999996
525d1d99-83d4-48bd-8603-339c065a59c6,F,1997,907,1364,0.6649560117302052,193.0,68.0
5d832f19-7169-409f-b1d3-6947b72e423b,F,2000,180,212,0.8490566037735849,181.0,44.59765
5f2d15ca-0702-400c-b860-1a892e833dff,F,1969,398,373,1.0670241286863271,177.0,44.0
5f4779f2-4152-4827-85a2-2d9030a24d63,F,1991,1087,1118,0.9722719141323792,189.0,66.0
80f438f4-21ed-4b41-8b2a-0918b25f7842,F,1983,395,685,0.5766423357664233,177.25,51.0
88f6e5bd-24b5-4188-926e-d08faae36e72,F,2001,372,453,0.8211920529801324,197.0,69.0
8a4414da-95de-43fa-8f52-9258b62a304c,F,1999,170,331,0.513595166163142,183.0,54.0
a0631b3a-c8cb-4e7f-949e-d102c65c852f,F,1997,1562,2184,0.7152014652014652,202.0,56.0
afaf9967-adcd-4e9b-b117-55ca7057c0df,F,1995,846,1567,0.5398851308232291,192.0,40.0
caef900a-f5e4-420b-bb45-01bd310b4bd8,F,1987,594,803,0.7397260273972602,185.0,49.0
d0135273-6bad-4a89-8fd0-797e1e3c3c6e,F,1985,328,461,0.7114967462039046,195.0,43.280345
d222716f-5ed8-46f9-a35c-ec6b3d9bae67,F,1988,344,387,0.8888888888888888,177.0,47.0
da47d937-51ae-4f8d-93a0-e8460d65f990,F,1989,460,812,0.5665024630541872,193.0,42.0
da6ab7ad-655c-4e4b-ac95-7af4cdc4b8f8,F,1973,710,741,0.9581646423751689,174.0,49.0
dd2eee24-b271-4cbd-be01-66b804838e5f,F,1988,435,496,0.8770161290322581,178.0,47.0
df6f2e29-5e82-431d-8549-27ca0f2fccff,F,1983,364,632,0.5759493670886076,185.0,68.0
dfa3be5b-953e-42ea-82c0-3bc9a9e383b7,F,1994,530,710,0.7464788732394366,194.0,41.53056
e58c276d-9e21-4dcf-8121-703ee2c6f729,F,1970,1162,1803,0.6444814198557959,176.0,60.0
e7a3ed8a-cca4-4ba9-b244-328dacb435cd,F,1987,349,487,0.7166324435318275,179.0,68.0
ed8a4e8f-328f-40a6-9886-5120123826eb,F,1987,288,544,0.5294117647058824,182.0,63.0
f3771ea1-af65-4b36-90ad-6ffb5ac1f309,F,2002,743,1298,0.5724191063174114,201.0,91.0
f4054da0-4cfa-4133-a40c-7189834e07e2,F,1981,190,294,0.6462585034013606,186.0,40.5
f505b200-6daf-46ad-b49e-14ff8edd72d6,F,2066,281,431,0.6519721577726219,172.0,43.0
75119381-8969-4cfe-8c31-f21ce0f7ae3a,M,1960,222,274,0.8102189781021898,171.0,71.0
3a74749c-d364-465a-8b26-47a6a58ddc55,M,1984,131,214,0.6121495327102804,191.0,70.0
091ff782-d063-4411-9f40-9b679eaf44da,M,1988,132,246,0.5365853658536586,182.0,57.0
d5b08556-ac8c-43b7-bd28-b37152623424,M,1969,233,285,0.8175438596491228,177.0,63.1
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,M,1971,637,763,0.8348623853211009,185.0,55.0
445c698a-ee2f-483b-b9d9-c4562bdafb88,M,1974,226,408,0.553921568627451,172.0,55.0
a1c8b721-1490-4b9f-8bae-65694e85a1ff,M,1965,921,1696,0.5430424528301887,204.95000000000005,43.15242
671b2fb5-2b81-4fce-8982-cf691a1c0583,M,1978,1624,2258,0.7192205491585474,188.0,59.0
2f9d34ca-81a9-40be-babb-0ae4e28e27c2,M,2000,2128,2457,0.8660968660968661,198.0999999999999,44.0
224a17d6-021d-495f-945b-6be7e4d44d7a,M,1988,228,303,0.7524752475247525,184.0,60.05
e8ca97ee-e038-4b8e-a2fb-5731881ec8f5,M,1989,253,384,0.6588541666666666,186.0,57.15
97debc77-9d4c-4ac4-944c-26d890d57387,M,1973,142,268,0.5298507462686567,191.0,41.1765
5ae846a2-fb61-4553-a41f-99db55bcebbd,M,2000,461,448,1.0290178571428572,203.0,42.0
6d808c81-5988-44cb-8a65-12723ac05506,M,1989,128,194,0.6597938144329897,192.0,48.0
95c29407-3898-46d9-9399-53ca391d26a5,M,1976,198,261,0.7586206896551724,178.0,59.6
71a83aa9-6103-4a69-a2a0-c2be5bb1d8a8,M,2000,259,372,0.696236559139785,177.0,43.0
acd66fb1-e8e9-4a83-8269-939b54852397,M,1989,115,207,0.5555555555555556,185.0,40.0
7780d1e6-26b2-411e-971f-8d35c56e65d8,M,1977,366,399,0.9172932330827068,177.0,62.366685
a0eba165-f6fe-4a21-928a-f667bf9bbfc6,M,1960,238,221,1.0769230769230769,173.25,40.0
5d922a71-c980-44bf-afe7-f87f7e431f1a,M,1979,1058,1832,0.5775109170305677,169.0,46.59
537ba4dd-6607-4932-8d11-bcedcfae6a7c,M,1974,423,690,0.6130434782608696,177.0,62.900000000000006
c99cb213-fa05-4bbd-8564-fac04e46cc5b,M,1961,1956,3258,0.6003683241252302,186.0,55.0
f302a094-a06f-4218-8735-5f1867fef0b3,M,1959,2088,2317,0.9011652999568408,180.0,51.5
