athlete_id,activity_id,date,week_no,hrr_window_start_secs,hrr_window_end_secs,HRR(30)
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_04_20_08_38_38.csv,2019-04-20T12:38:38.000000,0,1400,1429,11
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_05_31_08_46_49.csv,2019-05-31T12:46:49.000000,5,10488,10517,15
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_06_07_08_44_02.csv,2019-06-07T12:44:02.000000,6,3384,3413,14
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_06_24_08_21_05.csv,2019-06-24T12:21:05.000000,9,2494,2523,34
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_08_09_08_22_27.csv,2019-08-09T12:22:27.000000,15,10076,10105,20
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_08_09_08_22_27.csv,2019-08-09T12:22:27.000000,15,11900,11929,21
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_08_09_08_22_27.csv,2019-08-09T12:22:27.000000,15,12179,12208,29
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_08_16_08_37_52.csv,2019-08-16T12:37:52.000000,16,2423,2452,11
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_08_21_08_33_48.csv,2019-08-21T12:33:48.000000,17,3087,3116,20
75119381-8969-4cfe-8c31-f21ce0f7ae3a,2019_10_14_09_19_21.csv,2019-10-14T13:19:21.000000,25,2792,2821,12
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_08_10_06_30_07.csv,2019-08-10T04:30:07.000000,0,12539,12568,14
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_08_24_06_23_03.csv,2019-08-24T04:23:03.000000,1,6789,6818,28
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_08_31_06_30_28.csv,2019-08-31T04:30:28.000000,3,2537,2566,20
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_08_31_06_30_28.csv,2019-08-31T04:30:28.000000,3,3234,3263,15
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_08_31_06_30_28.csv,2019-08-31T04:30:28.000000,3,13293,13322,18
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_09_21_05_59_24.csv,2019-09-21T03:59:24.000000,5,1011,1040,29
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_09_21_05_59_24.csv,2019-09-21T03:59:24.000000,5,8260,8289,29
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_09_21_05_59_24.csv,2019-09-21T03:59:24.000000,5,11485,11514,18
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_09_21_05_59_24.csv,2019-09-21T03:59:24.000000,5,12545,12574,15
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_09_24_06_09_57.csv,2019-09-24T04:09:57.000000,6,5744,5773,20
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_09_28_06_03_13.csv,2019-09-28T04:03:13.000000,6,4689,4718,31
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_09_28_06_03_13.csv,2019-09-28T04:03:13.000000,6,4858,4887,34
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_05_06_01_37.csv,2019-10-05T04:01:37.000000,7,803,832,20
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_05_06_01_37.csv,2019-10-05T04:01:37.000000,7,2625,2654,25
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_05_06_01_37.csv,2019-10-05T04:01:37.000000,7,3842,3871,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_05_06_01_37.csv,2019-10-05T04:01:37.000000,7,5162,5191,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_05_06_01_37.csv,2019-10-05T04:01:37.000000,7,9759,9788,12
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_05_06_01_37.csv,2019-10-05T04:01:37.000000,7,10213,10242,18
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_05_06_01_37.csv,2019-10-05T04:01:37.000000,7,10298,10327,22
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_19_06_04_04.csv,2019-10-19T04:04:04.000000,9,591,620,34
3a74749c-d364-465a-8b26-47a6a58ddc55,2019_10_19_06_04_04.csv,2019-10-19T04:04:04.000000,9,731,760,13
