missingSeconds,frequency
-1.0,120
0.0,2413911
1.0,2582
2.0,161
3.0,129
4.0,2820
5.0,55
6.0,65
7.0,43
8.0,40
9.0,35
10.0,18
11.0,20
12.0,16
13.0,10
14.0,10
15.0,5
16.0,11
17.0,5
18.0,3
19.0,3
20.0,6
21.0,2
22.0,6
23.0,6
24.0,23
25.0,16
26.0,32
27.0,29
28.0,19
29.0,22
30.0,27
31.0,24
32.0,26
33.0,20
34.0,25
35.0,22
36.0,14
37.0,25
38.0,16
39.0,19
40.0,18
41.0,16
42.0,22
43.0,18
44.0,20
45.0,15
46.0,10
47.0,15
48.0,13
49.0,15
50.0,12
51.0,9
52.0,11
53.0,9
54.0,5
55.0,12
56.0,9
57.0,16
58.0,9
59.0,6
60.0,12
61.0,7
62.0,8
63.0,6
64.0,8
65.0,6
66.0,9
67.0,5
68.0,6
69.0,4
70.0,7
71.0,5
72.0,6
73.0,6
74.0,5
75.0,4
76.0,10
77.0,7
78.0,1
79.0,8
80.0,3
81.0,5
83.0,4
84.0,8
85.0,6
86.0,4
87.0,2
88.0,2
89.0,4
90.0,7
91.0,3
92.0,2
93.0,2
94.0,5
95.0,2
96.0,5
97.0,5
98.0,3
99.0,2
100.0,11
101.0,5
102.0,3
103.0,3
104.0,3
105.0,2
106.0,1
107.0,5
108.0,4
109.0,1
110.0,3
111.0,2
112.0,1
113.0,4
114.0,6
115.0,2
116.0,1
119.0,2
120.0,2
121.0,1
122.0,1
123.0,3
124.0,1
125.0,1
126.0,5
127.0,1
128.0,2
129.0,1
130.0,1
131.0,1
132.0,2
133.0,2
134.0,3
135.0,2
136.0,1
137.0,1
138.0,2
139.0,2
140.0,1
141.0,1
142.0,2
143.0,2
145.0,4
147.0,1
148.0,1
149.0,2
150.0,1
151.0,1
153.0,1
154.0,3
155.0,1
156.0,1
158.0,2
159.0,1
160.0,1
161.0,2
163.0,3
164.0,1
165.0,3
167.0,1
169.0,2
170.0,2
171.0,1
172.0,2
173.0,3
175.0,2
177.0,1
178.0,2
179.0,1
181.0,1
182.0,1
186.0,1
189.0,4
190.0,1
191.0,2
192.0,3
197.0,1
198.0,1
199.0,2
201.0,1
205.0,2
206.0,2
207.0,1
208.0,1
209.0,1
210.0,2
214.0,1
215.0,2
218.0,1
219.0,2
221.0,1
222.0,1
223.0,1
225.0,1
228.0,1
229.0,1
230.0,2
234.0,1
235.0,1
236.0,1
239.0,1
242.0,2
243.0,1
244.0,1
246.0,1
249.0,3
250.0,1
251.0,1
255.0,1
256.0,1
271.0,1
274.0,1
282.0,1
285.0,1
287.0,1
288.0,1
289.0,1
290.0,1
291.0,1
292.0,1
294.0,1
296.0,1
298.0,2
300.0,1
310.0,1
312.0,2
319.0,1
330.0,1
333.0,1
342.0,2
345.0,1
349.0,1
351.0,1
356.0,1
361.0,2
363.0,2
365.0,1
368.0,1
369.0,1
370.0,1
371.0,1
378.0,3
381.0,1
392.0,1
399.0,1
400.0,1
409.0,1
410.0,1
411.0,2
417.0,1
423.0,1
425.0,1
443.0,1
444.0,1
445.0,1
447.0,2
456.0,1
460.0,2
466.0,2
467.0,1
470.0,1
472.0,1
475.0,1
481.0,1
483.0,1
489.0,1
504.0,1
505.0,1
508.0,2
515.0,1
520.0,1
521.0,1
529.0,2
535.0,1
543.0,1
546.0,2
549.0,1
556.0,1
561.0,1
571.0,1
583.0,1
589.0,1
601.0,1
607.0,1
618.0,1
626.0,1
642.0,1
645.0,1
657.0,1
661.0,1
667.0,1
673.0,1
712.0,1
715.0,1
740.0,1
750.0,1
754.0,1
760.0,2
777.0,1
782.0,2
788.0,1
801.0,1
806.0,2
820.0,1
823.0,1
872.0,1
877.0,1
886.0,1
914.0,1
919.0,1
933.0,1
935.0,1
948.0,1
990.0,1
1052.0,1
1073.0,1
1077.0,1
1102.0,1
1118.0,1
1132.0,1
1151.0,1
1157.0,1
1174.0,2
1190.0,1
1193.0,1
1194.0,1
1218.0,1
1249.0,1
1292.0,1
1327.0,1
1357.0,1
1387.0,1
1413.0,1
1430.0,1
1435.0,1
1437.0,1
1567.0,1
1575.0,1
1584.0,1
1601.0,1
1639.0,1
1660.0,1
1774.0,1
1828.0,1
1833.0,1
1834.0,1
1855.0,1
1893.0,1
1913.0,1
1945.0,1
1947.0,1
1958.0,1
2026.0,1
2129.0,1
2144.0,1
2205.0,1
2224.0,1
2273.0,1
2285.0,1
2330.0,1
2394.0,1
2443.0,1
2455.0,1
2474.0,1
2523.0,1
2738.0,1
2851.0,1
2998.0,1
3297.0,1
3663.0,1
3902.0,1
3922.0,1
4157.0,1
7009.0,1
32334.0,1
32344.0,1
